Year,Year ending,Police Region,LGA,Incidents Recorded,"scaledRate"
2022,December,1 North West Metro, Banyule,"5,387","4,264.2"
2022,December,1 North West Metro, Brimbank,"12,156","6,248.0"
2022,December,1 North West Metro, Darebin,"9,321","6,246.0"
2022,December,1 North West Metro, Hobsons Bay,"4,664","5,088.8"
2022,December,1 North West Metro, Hume,"12,753","5,066.2"
2022,December,1 North West Metro, Maribyrnong,"6,828","7,859.5"
2022,December,1 North West Metro, Melbourne,"24,785","15,980.9"
2022,December,1 North West Metro, Melton,"8,598","4,500.0"
2022,December,1 North West Metro, Merri-bek,"9,270","5,375.0"
2022,December,1 North West Metro, Moonee Valley,"5,818","4,761.1"
2022,December,1 North West Metro, Nillumbik,"1,170","1,859.1"
2022,December,1 North West Metro, Whittlesea,"8,929","3,806.4"
2022,December,1 North West Metro, Wyndham,"13,316","4,328.9"
2022,December,1 North West Metro, Yarra,"9,089","9,862.7"
2022,December,1 North West Metro,Total,"132,084","5,900.6"
2022,December,2 Eastern, Alpine,349,"2,635.3"
2022,December,2 Eastern, Bass Coast,"2,060","4,912.7"
2022,December,2 Eastern, Baw Baw,"2,867","4,824.2"
2022,December,2 Eastern, Benalla,945,"6,528.6"
2022,December,2 Eastern, Boroondara,"5,589","3,318.5"
2022,December,2 Eastern, East Gippsland,"3,386","6,893.4"
2022,December,2 Eastern, Greater Shepparton,"5,626","8,175.4"
2022,December,2 Eastern, Indigo,566,"3,263.2"
2022,December,2 Eastern, Knox,"6,431","4,043.1"
2022,December,2 Eastern, Latrobe,"7,806","10,079.5"
2022,December,2 Eastern, Manningham,"2,860","2,292.9"
2022,December,2 Eastern, Mansfield,276,"2,678.5"
2022,December,2 Eastern, Maroondah,"5,249","4,550.4"
2022,December,2 Eastern, Mitchell,"2,490","4,831.5"
2022,December,2 Eastern, Moira,"1,474","4,831.9"
2022,December,2 Eastern, Monash,"8,726","4,548.2"
2022,December,2 Eastern, Murrindindi,535,"3,502.9"
2022,December,2 Eastern, South Gippsland,"1,330","4,338.1"
2022,December,2 Eastern, Strathbogie,381,"3,304.3"
2022,December,2 Eastern, Towong,130,"2,093.8"
2022,December,2 Eastern, Wangaratta,"1,698","5,668.3"
2022,December,2 Eastern, Wellington,"3,062","6,684.8"
2022,December,2 Eastern, Whitehorse,"5,826","3,413.3"
2022,December,2 Eastern, Wodonga,"2,701","6,157.7"
2022,December,2 Eastern, Yarra Ranges,"4,751","3,030.1"
2022,December,2 Eastern,Total,"77,114","4,524.5"
2022,December,3 Southern Metro, Bayside,"3,767","3,729.6"
2022,December,3 Southern Metro, Cardinia,"4,631","3,772.3"
2022,December,3 Southern Metro, Casey,"14,852","3,939.8"
2022,December,3 Southern Metro, Frankston,"9,180","6,547.3"
2022,December,3 Southern Metro, Glen Eira,"5,401","3,614.7"
2022,December,3 Southern Metro, Greater Dandenong,"12,649","7,967.3"
2022,December,3 Southern Metro, Kingston,"7,750","4,900.2"
2022,December,3 Southern Metro, Mornington Peninsula,"6,643","3,887.0"
2022,December,3 Southern Metro, Port Phillip,"9,533","9,236.1"
2022,December,3 Southern Metro, Stonnington,"8,450","8,022.3"
2022,December,3 Southern Metro,Total,"82,856","5,221.8"
2022,December,4 Western, Ararat,900,"7,592.9"
2022,December,4 Western, Ballarat,"8,036","6,936.3"
2022,December,4 Western, Buloke,206,"3,368.2"
